"Step","Source","Target","Exists","Files","UAssets","Maps","DirectReferenceCount","ReferencedBy","ReferencedPaths","Risk","CodeSensitive","IniSensitive","MoveMode","Notes","Validation"
"1","Content/BluePrints/Inputs","/Game/Pickpacker/Core/Input","Yes","27","27","0","8","Source\Pickpacker\Character\BlasterCharacter.cpp; Source\Pickpacker\PlayerController\BlasterPlayerController.cpp","/Game/BluePrints/Inputs/IA_OpenLobbyMenu.IA_OpenLobbyMenu; /Game/BluePrints/Inputs/IA_OpenPanel.IA_OpenPanel; /Game/BluePrints/Inputs/IA_OpenPauseMenu.IA_OpenPauseMenu; /Game/BluePrints/Inputs/IMC_MainGameInputs.IMC_MainGameInputs","Critical","Yes","No","Move first","Input mapping context and input actions are loaded directly from C++.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"2","Content/BluePrints/UI","/Game/Pickpacker/Core/UI","Yes","13","13","0","14","Config\DefaultEngine.ini; Source\Pickpacker\PlayerController\BlasterPlayerController.cpp; Source\Pickpacker\UI\NPCDialogueWidget.cpp","/Game/BluePrints/UI/W_Crane; /Game/Blueprints/UI/W_Crane; /Game/Blueprints/UI/W_Drone; /Game/BluePrints/UI/W_Drone; /Game/Blueprints/UI/W_HitPoint; /Game/BluePrints/UI/W_HitPoint; /Game/Blueprints/UI/W_OutCar; /Game/BluePrints/UI/W_OutCar; /Game/BluePrints/UI/WBP_LoadingScreen; /Game/BluePrints/UI/WBP_LoadingScreen.WBP_LoadingScreen_C; /Game/BluePrints/UI/WBP_LobbyMenu; /Game/BluePrints/UI/WBP_LobbyMenu.WBP_LobbyMenu_C; /Game/BluePrints/UI/WBP_NPCDialogue.WBP_NPCDialogue_C; /Game/BluePrints/UI/WBP_NPCDialogueChoice.WBP_NPCDialogueChoice_C","Critical","Yes","Yes","Move next","Loading screen, lobby menu, NPC dialogue, and legacy redirect entries live here.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"3","Content/BluePrints/HUD","/Game/Pickpacker/Core/UI/HUD","Yes","23","23","0","2","Source\Pickpacker\Components\InteractionComponent.cpp; Source\Pickpacker\PlayerController\BlasterPlayerController.cpp","/Game/BluePrints/HUD/WBP_Interaction; /Game/BluePrints/HUD/WBP_PickpackerHUD.WBP_PickpackerHUD_C","Critical","Yes","No","Move next","Interaction prompt and gameplay HUD are loaded directly from C++.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"4","Content/BluePrints/GameModes","/Game/Pickpacker/Core/GameModes","Yes","4","3","0","1","Config\DefaultEngine.ini","/Game/BluePrints/GameModes/BP_PickPackerGameMode.BP_PickPackerGameMode_C","Critical","Yes","Yes","Move next","DefaultEngine.ini points to BP_PickPackerGameMode.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"5","Content/BluePrints/Data","/Game/Pickpacker/Core/Data/Blueprints","Yes","11","8","0","6","Config\DefaultEngine.ini","/Game/BluePrints/Data/BP_FunctionLibrary; /Game/Blueprints/Data/BP_FunctionLibrary; /Game/Blueprints/Data/ML_A_MacroLibrary; /Game/BluePrints/Data/ML_A_MacroLibrary; /Game/BluePrints/Data/ML_Ob_MacroLibrary; /Game/Blueprints/Data/ML_Ob_MacroLibrary","High","No","Yes","Move next","DefaultEngine.ini redirects already point at this folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"6","Content/BluePrints/RenderTarget","/Game/Pickpacker/Core/Shared/RenderTarget","Yes","19","12","0","3","Config\DefaultEngine.ini; Config\DefaultGame.ini","/Game/BluePrints/RenderTarget; /Game/BluePrints/RenderTarget/RT_DroneCamera; /Game/Blueprints/RenderTarget/RT_DroneCamera","High","No","Yes","Move after Data","DirectoriesToAlwaysCook must be updated after move.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"7","Content/BluePrints/GamePlay","/Game/Pickpacker/Gameplay/Systems","Yes","37","35","0","4","Config\DefaultEngine.ini","/Game/BluePrints/GamePlay/AC_CallAction; /Game/Blueprints/GamePlay/AC_CallAction; /Game/Blueprints/GamePlay/BP_RobotHend; /Game/BluePrints/GamePlay/BP_RobotHend","High","No","Yes","Move after core UI","Legacy redirect targets AC_CallAction and BP_RobotHend live here.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"8","Content/BluePrints/AI","/Game/Pickpacker/Gameplay/AI","Yes","108","108","0","0","-","-","Medium","No","No","Move after GamePlay","Large folder. Validate behavior trees and tasks after move.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"9","Content/BluePrints/Weapon","/Game/Pickpacker/Gameplay/Weapons","Yes","3","3","0","0","-","-","Medium","No","No","Move after AI","Includes projectile and casing blueprints.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"10","Content/BluePrints/Parcel","/Game/Pickpacker/Gameplay/Parcel","Yes","5","5","0","0","-","-","Medium","No","No","Move after Weapon","Gameplay-specific parcel actors.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"11","Content/BluePrints/Station","/Game/Pickpacker/Gameplay/Stations","Yes","6","4","0","0","-","-","Medium","No","No","Move after Parcel","Station gameplay actors.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"12","Content/BluePrints/SpawnPoints","/Game/Pickpacker/Gameplay/SpawnPoints","Yes","2","1","0","0","-","-","Low","No","No","Move after Station","Small isolated folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"13","Content/BluePrints/Gates","/Game/Pickpacker/Gameplay/Gates","Yes","10","10","0","0","-","-","Low","No","No","Move after SpawnPoints","Gate actors only.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"14","Content/BluePrints/Shelf","/Game/Pickpacker/Gameplay/Shelf","Yes","1","1","0","0","-","-","Low","No","No","Move after Gates","Single blueprint folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"15","Content/BluePrints/Acting","/Game/Pickpacker/Gameplay/Acting","Yes","2","2","0","0","-","-","Low","No","No","Move after Shelf","Small helper folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"16","Content/BluePrints/Notify","/Game/Pickpacker/Characters/Animation/Notify","Yes","1","1","0","0","-","-","Low","No","No","Move after Acting","Animation notify assets.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"17","Content/BluePrints/Camera","/Game/Pickpacker/Core/Camera","Yes","1","1","0","0","-","-","Low","No","No","Move after Notify","Single camera blueprint.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"18","Content/BluePrints/Character","/Game/Pickpacker/Characters/Blueprints","Yes","44","44","0","0","-","-","Medium","No","No","Move near the end","Animation blueprints and character-specific assets.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"19","Content/BluePrints/Pawn","/Game/Pickpacker/Characters/Pawn","Yes","3","3","0","2","Config\DefaultEngine.ini","/Game/Blueprints/Pawn/ThirdPersonCharacter; /Game/BluePrints/Pawn/ThirdPersonCharacter","High","No","Yes","Move near the end","DefaultEngine.ini contains a redirect for ThirdPersonCharacter.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"20","Content/BluePrints/PlayerController","/Game/Pickpacker/Core/PlayerController","Yes","3","3","0","0","-","-","Medium","No","No","Move near the end","Blueprint subclasses of player controller.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"21","Content/BluePrints/PlayerState","/Game/Pickpacker/Core/PlayerState","Yes","1","1","0","0","-","-","Low","No","No","Move near the end","Small isolated folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"22","Content/BluePrints/GameState","/Game/Pickpacker/Core/GameState","Yes","3","2","0","0","-","-","Low","No","No","Move near the end","Small isolated folder.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
"23","Content/BluePrints/Edits","/Game/Pickpacker/Editor/Edits","Yes","2","2","0","0","-","-","Low","No","No","Move last","Editor-only or scratch assets. Keep out of gameplay roots if possible.","Move in Unreal Editor -> Fix Up Redirectors -> Compile affected blueprints -> PIE smoke test"
