Name,NPCId,NodeIndex,SpeakerName,DialogueText,NodeRequiredWorldFlag,NodeAutoNextNodeIndex,ChoiceIndex,ChoiceText,ChoiceRequiredWorldFlag,ChoiceBlockingWorldFlag,ChoiceNextNodeIndex,OutcomeOrder,RequirementOrder,ChoiceOutcomeType,ChoiceOutcomeWorldFlag,ChoiceOutcomeIntValue,ChoiceOutcomeFloatValue,ChoiceOutcomeTagPayload,ChoiceOutcomeStringPayload,ChoiceRequirementType,ChoiceRequirementTag,ChoiceRequirementThresholdValue,ChoiceRequirementIndicatorType,ChoiceRequirementIndicatorText,ChoiceRequirementIndicatorIcon,bChoiceRequirementShowIndicatorWhenMet
Jijibo_Delivered_AskStatus,Jijibo,0,지지보,"잡음이 줄었어. 네가 건네준 모듈 덕분에 잃어버린 곡의 윤곽이 다시 돌아오고 있어.",Dialogue.Jijibo.SpeakerModuleDelivered,1,0,"모듈은 잘 작동해?",,,10,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Delivered_HiddenFreq,Jijibo,0,지지보,"잡음이 줄었어. 네가 건네준 모듈 덕분에 잃어버린 곡의 윤곽이 다시 돌아오고 있어.",Dialogue.Jijibo.SpeakerModuleDelivered,1,1,"숨겨둔 주파수를 들려줘.",,,11,0,0,None,,0,0,,,WorldFlagAtLeast,Dialogue.Jijibo.TrustHigh,1,Branch,신뢰 분기,,True
Jijibo_Delivered_StayQuiet,Jijibo,0,지지보,"잡음이 줄었어. 네가 건네준 모듈 덕분에 잃어버린 곡의 윤곽이 다시 돌아오고 있어.",Dialogue.Jijibo.SpeakerModuleDelivered,1,2,"오늘은 노래만 들을게.",,,12,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_NotYet,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,0,"아직 못 찾았어.",,,13,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_Deliver_Take,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,1,"스피커 모듈을 가져왔어.",,,14,0,0,TakeItem,,0,0,Item.Part.SpeakerModule,,HasItemTag,Item.Part.SpeakerModule,0,Item,스피커 모듈,,True
Jijibo_Accepted_Deliver_Flag,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,1,"스피커 모듈을 가져왔어.",,,14,1,0,SetWorldFlag,Dialogue.Jijibo.SpeakerModuleDelivered,1,0,,,None,,0,None,,,True
Jijibo_Accepted_Deliver_Persona,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,1,"스피커 모듈을 가져왔어.",,,14,2,0,AdjustPersona,,0,8,,,None,,0,None,,,True
Jijibo_Accepted_WhyImportant,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,2,"왜 그게 그렇게 중요해?",,,15,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Accepted_PersonaTrust_Flag,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,3,"네가 찾는 건 부품보다 기억 같은데.",,,16,0,0,SetWorldFlag,Dialogue.Jijibo.TrustHigh,1,0,,,PersonaAtLeast,,50,Persona,> 50,,True
Jijibo_Accepted_PersonaTrust_Persona,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,3,"네가 찾는 건 부품보다 기억 같은데.",,,16,1,0,AdjustPersona,,0,5,,,None,,0,None,,,True
Jijibo_Accepted_PowerBranch,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,4,"전력이 돌아왔어. 우회 방송을 열 수 있지?",,,17,0,0,SetWorldFlag,Dialogue.Jijibo.SignalUnlocked,1,0,,,WorldFlagAtLeast,World.Power.On,1,Quest,전원 복구,,True
Jijibo_Accepted_Leave,Jijibo,1,지지보,"아직도 주파수는 열어 둔 채야. 스피커 모듈만 돌아오면 끊긴 합주를 이어 볼 수 있어.",Dialogue.Jijibo.AcceptedRequest,2,5,"다음에 다시 올게.",,,12,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Refused_Reconsider_Flag,Jijibo,2,지지보,"그때는 망설였지. 하지만 방송은 아직 안 꺼졌어. 마음이 바뀌었다면 지금이라도 늦지 않아.",Dialogue.Jijibo.RefusedRequest,3,0,"생각해보니 도와줄게.",,,18,0,0,SetWorldFlag,Dialogue.Jijibo.AcceptedRequest,1,0,,,None,,0,None,,,True
Jijibo_Refused_Reconsider_Quest,Jijibo,2,지지보,"그때는 망설였지. 하지만 방송은 아직 안 꺼졌어. 마음이 바뀌었다면 지금이라도 늦지 않아.",Dialogue.Jijibo.RefusedRequest,3,0,"생각해보니 도와줄게.",,,18,1,0,SetWorldFlag,Quest.Jijibo.SpeakerModule,1,0,,,None,,0,None,,,True
Jijibo_Refused_ExplainAgain,Jijibo,2,지지보,"그때는 망설였지. 하지만 방송은 아직 안 꺼졌어. 마음이 바뀌었다면 지금이라도 늦지 않아.",Dialogue.Jijibo.RefusedRequest,3,1,"뭘 찾는지 다시 설명해줘.",,,15,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Refused_NotNow,Jijibo,2,지지보,"그때는 망설였지. 하지만 방송은 아직 안 꺼졌어. 마음이 바뀌었다면 지금이라도 늦지 않아.",Dialogue.Jijibo.RefusedRequest,3,2,"아직은 못 하겠어.",,,12,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_FirstIntro_Continue,Jijibo,3,지지보,"치직... 수신 확인. 네 쪽에서 내 주파수를 붙잡았네. 낯선 손인데도 이상하게 익숙한 잡음이 섞여 있어.",, -1,0,"주파수는 맞았어. 계속 말해.",,,4,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_FirstIntro_WhoAreYou,Jijibo,3,지지보,"치직... 수신 확인. 네 쪽에서 내 주파수를 붙잡았네. 낯선 손인데도 이상하게 익숙한 잡음이 섞여 있어.",, -1,1,"누구야?",,,5,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_FirstIntro_Busy,Jijibo,3,지지보,"치직... 수신 확인. 네 쪽에서 내 주파수를 붙잡았네. 낯선 손인데도 이상하게 익숙한 잡음이 섞여 있어.",, -1,2,"지금은 바빠.",,,6,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_WarmIntro_Memory,Jijibo,4,지지보,"좋아. 그럼 짧게 갈게. 이 선로엔 오래전에 끊긴 합주가 남아 있어. 나는 그 마지막 박자를 아직 기억하고 있어.",, -1,0,"남아 있는 기억?",,,7,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_WarmIntro_Request,Jijibo,4,지지보,"좋아. 그럼 짧게 갈게. 이 선로엔 오래전에 끊긴 합주가 남아 있어. 나는 그 마지막 박자를 아직 기억하고 있어.",, -1,1,"무슨 부탁을 하려는 거야?",,,8,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_WarmIntro_WhyBroadcast,Jijibo,4,지지보,"좋아. 그럼 짧게 갈게. 이 선로엔 오래전에 끊긴 합주가 남아 있어. 나는 그 마지막 박자를 아직 기억하고 있어.",, -1,2,"잡음이 심한데도 계속 방송하는 이유가 있어?",,,9,0,0,None,,0,0,,,None,,0,None,,,True
Jijibo_Reveal_NameFlag,Jijibo,5,지지보,"나는 지지보. 이동형 라디오 유닛. 전투 기능은 없고, 기억이 섞인 방송을 놓치지 않으려 주파수를 떠돌고 있어.",, -1,0,"이름이 지지보인 이유가 뭐야?",,,9,0,0,SetWorldFlag,Dialogue.Jijibo.HeardName,1,0,,,None,,0,None,,,True
