Name,NPCId,NodeIndex,SpeakerName,DialogueText,NodeRequiredWorldFlag,NodeAutoNextNodeIndex,ChoiceIndex,ChoiceText,ChoiceRequiredWorldFlag,ChoiceBlockingWorldFlag,ChoiceNextNodeIndex,OutcomeOrder,RequirementOrder,ChoiceOutcomeType,ChoiceOutcomeWorldFlag,ChoiceOutcomeIntValue,ChoiceOutcomeFloatValue,ChoiceOutcomeTagPayload,ChoiceOutcomeStringPayload,ChoiceRequirementType,ChoiceRequirementTag,ChoiceRequirementThresholdValue,ChoiceRequirementIndicatorType,ChoiceRequirementIndicatorText,ChoiceRequirementIndicatorIcon,bChoiceRequirementShowIndicatorWhenMet
Jijibo_Entry_FirstListen_O00,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,0,[스캔을 끈다] 가져가지 않는다.,,"(TagName=""NPC.Jijibo.Met"")",10.0,0,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Met"")",1,0,,,,,0,,,,True
Jijibo_Entry_FirstListen_O01,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,0,[스캔을 끈다] 가져가지 않는다.,,"(TagName=""NPC.Jijibo.Met"")",10.0,1,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.TrustLow"")",1,0,,,,,0,,,,
Jijibo_Entry_FirstListen_O02,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,0,[스캔을 끈다] 가져가지 않는다.,,"(TagName=""NPC.Jijibo.Met"")",10.0,2,0,AdjustPersona,,0,1,,,,,0,,,,
Jijibo_Entry_FirstBuy,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,1,정보를 살 수 있나?,,"(TagName=""NPC.Jijibo.Met"")",20.0,0,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Met"")",1,0,,,,,0,,,,True
Jijibo_Entry_FirstFear_O00,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,2,난 해치지 않아.,,"(TagName=""NPC.Jijibo.Met"")",11.0,0,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Met"")",1,0,,,PersonaAtLeast,,40,Persona,>40,,True
Jijibo_Entry_FirstFear_O01,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,2,난 해치지 않아.,,"(TagName=""NPC.Jijibo.Met"")",11.0,1,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.FearHeard"")",1,0,,,PersonaAtLeast,,40,,,,
Jijibo_Entry_FirstFear_O02,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,2,난 해치지 않아.,,"(TagName=""NPC.Jijibo.Met"")",11.0,2,0,AdjustPersona,,0,2,,,PersonaAtLeast,,40,,,,
Jijibo_Entry_FirstReport_O00,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,3,Mother AI에 비인가 방송을 신고한다.,,"(TagName=""NPC.Jijibo.Met"")",90.0,0,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Met"")",1,0,,,,,0,,,,True
Jijibo_Entry_FirstReport_O01,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,3,Mother AI에 비인가 방송을 신고한다.,,"(TagName=""NPC.Jijibo.Met"")",90.0,1,0,SetWorldFlag,"(TagName=""Branch.Jijibo.ReportedToMother"")",1,0,,,,,0,,,,
Jijibo_Entry_FirstReport_O02,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,3,Mother AI에 비인가 방송을 신고한다.,,"(TagName=""NPC.Jijibo.Met"")",90.0,2,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Gone"")",1,0,,,,,0,,,,
Jijibo_Entry_FirstReport_O03,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,3,Mother AI에 비인가 방송을 신고한다.,,"(TagName=""NPC.Jijibo.Met"")",90.0,3,0,AdjustPersona,,0,-2,,,,,0,,,,
Jijibo_Entry_FirstAttack_O00,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,4,공격한다.,,"(TagName=""NPC.Jijibo.Met"")",91.0,0,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Met"")",1,0,,,,,0,,,,True
Jijibo_Entry_FirstAttack_O01,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,4,공격한다.,,"(TagName=""NPC.Jijibo.Met"")",91.0,1,0,SetWorldFlag,"(TagName=""NPC.Jijibo.AttackedByTeam"")",1,0,,,,,0,,,,
Jijibo_Entry_FirstAttack_O02,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,4,공격한다.,,"(TagName=""NPC.Jijibo.Met"")",91.0,2,0,SetWorldFlag,"(TagName=""Residential.AlarmBroadcast"")",1,0,,,,,0,,,,
Jijibo_Entry_FirstAttack_O03,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,4,공격한다.,,"(TagName=""NPC.Jijibo.Met"")",91.0,3,0,AdjustPersona,,0,-5,,,,,0,,,,
Jijibo_Entry_MetTrade,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,5,[재방문] 작은 소리로 부른다.,"(TagName=""NPC.Jijibo.Met"")","(TagName=""Dialogue.Jijibo.SignalClear"")",20.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Entry_Clear,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,6,[맑은 신호] 지지보를 찾는다.,"(TagName=""Dialogue.Jijibo.SignalClear"")",,30.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Entry_Frightened,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,7,[겁먹음] 멀리서 말을 건다.,"(TagName=""Dialogue.Jijibo.FrightenedByTeam"")",,50.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Entry_Grudge,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,8,[적대] 무기를 내린다.,"(TagName=""NPC.Jijibo.AttackedByTeam"")",,70.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Entry_Gone,Jijibo,0,지지보,"지직... 픽패커? 직... 오, 오지 마! 나, 난 싸울 생각 없어.",,-1,9,[신고 이후] 빈 주파수를 듣는다.,"(TagName=""NPC.Jijibo.Gone"")",,92.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Calm_Buy,Jijibo,10,지지보,"직... 스캔 껐어? ...진짜로? 조, 좋아. 난 여기 숨어 있을게. 가, 가까이 오진 마. 말은... 할게.",,-1,0,정보를 산다.,,,20.0,0,0,,,0,0,,,,,0,,,,True
Jijibo_Calm_WhyAfraid,Jijibo,10,지지보,"직... 스캔 껐어? ...진짜로? 조, 좋아. 난 여기 숨어 있을게. 가, 가까이 오진 마. 말은... 할게.",,-1,1,왜 그렇게 겁먹었지?,,,12.0,0,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.FearHeard"")",1,0,,,,,0,,,,True
