Name,NPCId,NodeIndex,SpeakerName,DialogueText,NodeRequiredWorldFlag,NodeAutoNextNodeIndex,ChoiceIndex,ChoiceText,ChoiceRequiredWorldFlag,ChoiceBlockingWorldFlag,ChoiceNextNodeIndex,OutcomeOrder,RequirementOrder,ChoiceOutcomeType,ChoiceOutcomeWorldFlag,ChoiceOutcomeIntValue,ChoiceOutcomeFloatValue,ChoiceOutcomeTagPayload,ChoiceOutcomeStringPayload,ChoiceRequirementType,ChoiceRequirementTag,ChoiceRequirementThresholdValue,ChoiceRequirementIndicatorType,ChoiceRequirementIndicatorText,ChoiceRequirementIndicatorIcon,bChoiceRequirementShowIndicatorWhenMet
Jijibo_Gone_END,Jijibo,0,시스템,잡음만 나온다. 스피커 아래에는 작은 나사가 하나 놓여 있다. 누가 일부러 가져가지 않은 것 같다.,"(TagName=""NPC.Jijibo.Gone"")",-1,-1,,,,-1,0,0,,,0,0,,,,,0,,,,True
Jijibo_Grudge_Root_C00_O00,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,0,[물러난다],,,35,0,0,,,0,0,,,,,0,,,,True
Jijibo_Grudge_Root_C01_O00,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,1,[배터리를 내려놓는다],,,36,0,0,TakeItem,,0,0,"(TagName=""Item.Electronics.Battery"")",,HasItemTag,"(TagName=""Item.Electronics.Battery"")",1,Item,배터리 필요,,True
Jijibo_Grudge_Root_C01_O01,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,1,[배터리를 내려놓는다],,,36,1,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.GrudgeSoftened"")",1,0,,,,,0,,,,True
Jijibo_Grudge_Root_C01_O02,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,1,[배터리를 내려놓는다],,,36,2,0,AdjustPersona,,1,0,,,,,0,,,,True
Jijibo_Grudge_Root_C02_O00,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,2,[정보를 강제로 요구한다],,,37,0,0,SetWorldFlag,"(TagName=""Residential.AlarmBroadcast"")",1,0,,,,,0,,,,True
Jijibo_Grudge_Root_C02_O01,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,2,[정보를 강제로 요구한다],,,37,1,0,Custom,,0,0,,SpawnReinforcement=TinMob;Delay=8,,,0,,,,True
Jijibo_Grudge_Root_C03_O00,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,3,[Mother AI에 신고한다],,,38,0,0,SetWorldFlag,"(TagName=""Branch.Jijibo.ReportedToMother"")",1,0,,,,,0,,,,True
Jijibo_Grudge_Root_C03_O01,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,3,[Mother AI에 신고한다],,,38,1,0,SetWorldFlag,"(TagName=""NPC.Jijibo.Gone"")",1,0,,,,,0,,,,True
Jijibo_Grudge_Root_C04_O00,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,4,[공격한다],,,39,0,0,AttackPlayer,,0,0,,,,,0,,,,True
Jijibo_Grudge_Root_C04_O01,Jijibo,1,지지보,"거기서 멈춰. 더 가까이 오면 방송한다.
지난번엔 네 손이 먼저 왔어. 말보다 빨랐지.","(TagName=""NPC.Jijibo.AttackedByTeam"")",-1,4,[공격한다],,,39,1,0,SetWorldFlag,"(TagName=""Residential.AlarmBroadcast"")",1,0,,,,,0,,,,True
Jijibo_Clear_Root_C00_O00,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,0,[숨겨진 물품 위치를 산다],,,16,0,0,,,0,0,,,,,0,,,,True
Jijibo_Clear_Root_C01_O00,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,1,[강적 발소리를 미리 들어 달라고 한다],,,24,0,0,SetWorldFlag,"(TagName=""Event.Jijibo.StrongEnemyWarningQueued"")",1,0,,,WorldFlagAtLeast,"(TagName=""Dialogue.Jijibo.DebtOwed"")",1,Branch,지지보의 빚,,True
Jijibo_Clear_Root_C01_O01,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,1,[강적 발소리를 미리 들어 달라고 한다],,,24,1,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.DebtOwed"")",0,0,,,,,0,,,,True
Jijibo_Clear_Root_C01_O02,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,1,[강적 발소리를 미리 들어 달라고 한다],,,24,2,0,Custom,,0,0,,PreWarnStrongEnemy=15s;RevealEnemyPing=4s,,,0,,,,True
Jijibo_Clear_Root_C02_O00,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,2,[Mother AI 감시 틈을 묻는다],,,25,0,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.MotherBlindSpotKnown"")",1,0,,,,,0,,,,True
Jijibo_Clear_Root_C02_O01,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,2,[Mother AI 감시 틈을 묻는다],,,25,1,0,Custom,,0,0,,SuppressMotherSuspicion=45s,,,0,,,,True
Jijibo_Clear_Root_C03_O00,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,3,[왜 도와주는지 묻는다],,,26,0,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.TrustConversationSeen"")",1,0,,,,,0,,,,True
Jijibo_Clear_Root_C04_O00,Jijibo,2,지지보,"오늘은 잘 들린다.
좋은 소리만 들리는 건 아니지만.","(TagName=""Dialogue.Jijibo.SignalClear"")",-1,4,[떠난다],,,-1,0,0,,,0,0,,,,,0,,,,True
Jijibo_Accepted_Root_C00_O00,Jijibo,3,지지보,"중계기는 아직 죽은 척하고 있어.
죽은 척이 오래가면 진짜가 돼.","(TagName=""Dialogue.Jijibo.AcceptedRelayRequest"")",-1,0,[중계기를 켰다고 말한다],,,27,0,0,SetWorldFlag,"(TagName=""Residential.JijiboSignalClear"")",1,0,,,WorldFlagAtLeast,"(TagName=""Residential.RelayPowered"")",1,Quest,중계기 전원 켜짐,,True
Jijibo_Accepted_Root_C00_O01,Jijibo,3,지지보,"중계기는 아직 죽은 척하고 있어.
죽은 척이 오래가면 진짜가 돼.","(TagName=""Dialogue.Jijibo.AcceptedRelayRequest"")",-1,0,[중계기를 켰다고 말한다],,,27,1,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.SignalClear"")",1,0,,,,,0,,,,True
Jijibo_Accepted_Root_C00_O02,Jijibo,3,지지보,"중계기는 아직 죽은 척하고 있어.
죽은 척이 오래가면 진짜가 돼.","(TagName=""Dialogue.Jijibo.AcceptedRelayRequest"")",-1,0,[중계기를 켰다고 말한다],,,27,2,0,SetWorldFlag,"(TagName=""Dialogue.Jijibo.DebtOwed"")",1,0,,,,,0,,,,True
Jijibo_Accepted_Root_C00_O03,Jijibo,3,지지보,"중계기는 아직 죽은 척하고 있어.
죽은 척이 오래가면 진짜가 돼.","(TagName=""Dialogue.Jijibo.AcceptedRelayRequest"")",-1,0,[중계기를 켰다고 말한다],,,27,3,0,AdjustPersona,,4,0,,,,,0,,,,True
